#Net latency without archiving
50 	9
100	4
150	4
200	4
250	8.6
300	5.3
350	19.1
400	19.5
450	14.4
500	7.8
550	12
600	13.3


#Sys latency without archiving
50	0
100	0
150	0
200	0.3
250	0.2
300	0.4
350	0.3
400	0.1
450	0.3
500	0.4
550	0.2
600	0.7


#Net latency with archiving
50	16
100	4
150	4
200	4
250	18.9
300	6
350	20.6
400	22
450	8.4
500	13
550	21.8
600	21.3


#Sys latency with archiving
50	0.8
100	1.28
150	1.4
200	1.8
250	1.9
300	1.5
350	1.6
400	1.3
450	1.9
500	1.7
550	1.7
600	2.2
