       ALABAMA
        Jacksonville AP           30? 30' N     81? 42' W
        Key West AP               24? 33' N     81? 45' W
        Lakeland Co (S)           28? 2' N      81? 57' W
        Miami AP (S)              25? 48' N     80? 16' W
        Miami Beach Co            25? 47' N     80? 17' W
        Ocala                     29? 11' N     82? 8' W
        Orlando AP                28? 33' N     81? 23' W
        Panama City, Tyndall AFB  30? 4' N      85? 35' W
        Pensacola Co              30? 25' N     87? 13' W
        St. Augustine             29? 58' N     81? 20' W
        St. Petersburg            27? 46' N     82? 80' W
        Stanford                  28? 46' N     81? 17' W
        Sarasota                  27? 23' N     82? 33' W
        Tallahassee AP (S)        30? 23' N     84? 22' W
        Tampa AP (S)              27? 58' N     82? 32' W
        West Palm Beach AP        26? 41' N     80? 6' W
       GEORGIA
        Albany, Turner AFB        31? 36' N     84? 5' W
        Americus                  32? 3' N      84? 14' W
        Athens                    33? 57' N     83? 19' W
        Atlanta AP (S)            33? 39' N     84? 26' W
        Augusta AP                33? 22' N     81? 58' W
        Brunswick                 31? 15' N     81? 29' W
        Columbus, Lawson AFB      32? 31' N     84? 56' W
        Dalton                    34? 34' N     84? 57' W
        Dublin                    32? 20' N     82? 54' W
        Gainsville                34? 11' N     83? 41' W
        Griffin                   33? 13' N     84? 16' W
        LaGrange                  33? 1' N      85? 4' W
        Macon AP                  32? 42' N     83? 39' W
        Marietta, Dobbins AFB     33? 55' N     84? 31' W
        Savannah                  32? 8' N      81? 12' W
        Valdosta-Moody AFB        30? 58' N     83? 12' W
        Waycross                  31? 15' N     82? 24' W
       HAWAII
        Hilo AP (S)               19? 43' N    155? 5' W
        Honolulu AP               21? 20' N    157? 55' W
        Kaneohe Bay MCAS          21? 27' N    157? 46' W
        Wahiawa                   21? 3' N     158? 2' W
       IDAHO
        Boise AP (S)              43? 34' N    116? 13' W
        Burley                    42? 32' N    113? 46' W
        Coeur D'Alene AP          47? 46' N    116? 49' W
        Idaho Falls AP            43? 31' N    112? 4' W
        Lewiston AP               46? 23' N    117? 1' W
        Moscow                    46? 44' N    116? 58' W
        Mountain Home AFB         43? 2' N     115? 54' W
        Pocatello AP              42? 55' N    112? 36' W
        Twin Falls AP (S)         42? 29' N    114? 29' W
       ILLINOIS
        Aurora                    41? 45' N     88? 20' W
        Belleville, Scott AFB     38? 33' N     89? 51' W
        Bloomington               40? 29' N     88? 57' W
        Carbondale                37? 47' N     89? 15' W
        Champaign/Urbana          40? 2' N      88? 17' W
        Chicago, Midway AP        41? 47' N     87? 45' W
        Chicago, O'Hare AP        41? 59' N     87? 54' W
        Chicago Co                41? 53' N     87? 38' W
        Danville                  40? 12' N     87? 36' W
        Decatur                   39? 50' N     88? 52' W
        Dixon                     41? 50' N     89? 29' W
        Elgin                     42? 2' N      88? 16' W
        Freeport                  42? 18' N     89? 37' W
        Galesburg                 40? 56' N     90? 26' W
        Greenville                38? 53' N     89? 24' W
        Joliet                    41? 31' N     88? 10' W
        Kankakee                  41? 5' N      87? 55' W
        La Salle/Peru             41? 19' N     89? 6' W
        Macomb                    40? 28' N     90? 40' W
        Moline AP                 41? 27' N     90? 31' W
        Mt Vernon                 38? 19' N     88? 52' W
        Peoria AP                 40? 40' N     89? 41' W
        Quincy AP                 39? 57' N     91? 12' W
        Rantoul, Chanute AFB      40? 18' N     88? 8' W
        Rockford                  42? 21' N     89? 3' W
        Springfield AP            39? 50' N     89? 40' W
        Waukegan                  42? 21' N     87? 53' W
