0.33    61.80
0.67    69.53
1       70.43
1.33    71.40
1.67    86.90
2       98.53
2.33    98.47
5       99.10
10      99.97
15      99.67
20      99.70
25      99.43
30      99.93
35      100.00
40      99.97
45      99.97
50      100.00
